status,cost.initial,cost.final,dt,g1,g1p,g2,g2p,k01,k02,n,n1,n2,cost,gene,method,message,trace,fnscale,factr,maxit,a,ftol,ptol,gtol,maxiter,b
rerun_not_necessary,27.235418817879207,27.22748791977259,23.549329729043468,0.8285695373925915,0.09057117819260033,0.39788674028426885,10,0.01,0.9825092543233781,20,2.157163792721996,4,27.22748791977259,ENSG00000000005,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,8.460483667263262,NA,NA,NA,NA,138.99030384733615
rerun_necessary,6.361976400285045,6.241152442600584,25.04163576281554,0.06559815808691255,6.733398838827689e-4,0.013503565091027275,0.015642128309181245,1.1367355966501582,0.3866661375317109,2.1970036726223983,3.5953965436266304,4,6.241152442600584,ENSG00000001036,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,95.44662663675165,NA,NA,NA,NA,954.3496670656814
rerun_necessary,12.42503757634964,12.372737125417803,21.265742185045255,0.0014154523703426647,0.016408484989689213,0.054913285493280325,9.959195553841512,0.26741928555060385,0.36630044501656994,2.7024147677307764,4,3.99922700027974,12.372737125417803,ENSG00000001561,lm,Relative error between `par' and the solution is at most `ptol'.,NA,NA,NA,NA,39.47364490420407,NA,NA,NA,NA,76385.11664468303
rerun_not_necessary,9.29631654208894,9.296316342265799,73.38337651335394,0.2987132639890477,0.20698576953946088,0.019955258149754445,0.03494678239763492,0.21098856272563374,0.3018135937678973,20,4,1,9.296316342265799,ENSG00000002834,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,954.3315862936498,NA,NA,NA,NA,3220.7080886140566
rerun_not_necessary,17.63391832771233,17.62779431193186,67.48957078475212,0.02975909091094379,0.035148282871660545,0.09032238163505432,0.20218356776033258,0.028355495171795572,0.5006855285646262,7.256963922761424,2.016490813427062,4,17.62779431193186,ENSG00000003096,lm,Number of iterations has reached `maxiter' == 1024.,NA,NA,NA,NA,33.968620664890736,NA,NA,NA,NA,6488.6653139699665
rerun_not_necessary,22.452579744934262,22.45257974493219,100,0.09815268038151372,0.10369131099320271,0.06750411625596976,0.04813522403732924,0.19281644480094068,0.01,13.400678026357943,4,4,22.45257974493219,ENSG00000003249,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,46.27391528049278,NA,NA,NA,NA,784.4574761548936
rerun_not_necessary,24.412473873989097,24.41247383665012,3.8398615810928796,0.11806302137900317,0.24871983605124903,0.22504076482258442,0.09477393343130756,0.733839192683643,0.07696724105090197,20,3.924351310699218,4,24.41247383665012,ENSG00000003436,lm,Relative error between `par' and the solution is at most `ptol'.,NA,NA,NA,NA,101.98825368143969,1e-25,1e-16,1e-15,20000,4992.788815054445
rerun_not_necessary,12.552758391687798,12.552517018712072,58.934523622217576,0.11340607599445923,0.7168762260750684,0.43903320002592783,9.979855589202693,2,1.7510077626096794,11.224957729426505,4,4,12.552517018712072,ENSG00000003509,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,149.14376879458217,NA,NA,NA,NA,11761.58919195156
rerun_not_necessary,9.249150279083981,9.240579694976375,17.555621979817744,1.1821947650676286,0.00326207177050739,0.03698007188850884,1e-5,0.13242153945463803,0.5686381785303228,1,4,4,9.240579694976375,ENSG00000004399,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,63.677208581530174,NA,NA,NA,NA,133.4944924713696
rerun_not_necessary,5.154470977867725,5.148149300119108,0.01,0.0016572832187880353,0.005848329180664114,0.04538676851235225,1.4513958119054446,0.17440555596395121,0.4103978391589934,2.3331175544879783,3.9999988820380126,2.026090532640024,5.148149300119108,ENSG00000004534,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,44.03259164202396,NA,NA,NA,NA,20105.93560048401
rerun_not_necessary,26.005430701234953,26.0038411917076,0.01,0.08155501418913429,1e-5,0.07520129207671736,0.006667540409997243,0.9879342388535938,0.23577424771071612,20,2.3668759078264108,4,26.0038411917076,ENSG00000004848,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,14.996981042528214,NA,NA,NA,NA,13472.082857106754
rerun_not_necessary,19.875710008042716,19.87569843797954,15.345626403342546,0.1062870395676258,1e-5,0.14609252074421916,0.596200707287535,0.9724289840148287,0.5522858688765667,6.060648753640649,2.0856133119165223,4,19.87569843797954,ENSG00000005108,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,8.938627101192255,NA,NA,NA,NA,1108.457137537585
rerun_not_necessary,27.06353604373805,27.06353393613651,57.434787646298496,0.11321938070055426,1e-5,3,1e-5,1.047221812711789,0.21359460785986406,19.999995865413258,1,2.750287175493069,27.06353393613651,ENSG00000005187,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,10.264744090247744,NA,NA,NA,NA,2982.8533906103357
rerun_not_necessary,10.781606246697994,10.781602821192664,0.01,0.03156500696018807,0.12859457639164557,1.2411347834179627,8.725788858370896,2,0.508589478431469,6.191231564077406,1.2672714585871654,4,10.781602821192664,ENSG00000005379,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,18.99358382036731,NA,NA,NA,NA,7903.2561697487035
