No in list,File (new name),Name of Differentiation,time of differentiation [h],replicate,differentiation protocol,cell line,compound,study,treatment_start [h],treatment_end [h],compound_concentration [M]
55,UKN1timecourse_120h_Exp4_(HG-U133_Plus_2),D14_06ND,120,D,UKN1,H9-hESC,untreated,timecourse,,,
56,UKN1timecourse_144h_Exp4_(HG-U133_Plus_2),D14_06ND,144,D,UKN1,H9-hESC,untreated,timecourse,,,
57,UKN1_sat_a_VPA_5mM_D12_31NS_195.CEL,D12_31NS,144,A,UKN1,H9-hESC,VPA,VPA sat acute,96,144,5.00E-003
58,UKN1_sat_a_VPA_4mM_D12_31NS_196.CEL,D12_31NS,144,B,UKN1,H9-hESC,VPA,VPA sat acute,96,144,4.00E-003
59,UKN1_sat_a_VPA_2mM_D12_31NS_197.CEL,D12_31NS,144,C,UKN1,H9-hESC,VPA,VPA sat acute,96,144,2.00E-003
60,UKN1_sat_a_VPA_1mM_D12_31NS_198.CEL,D12_31NS,144,D,UKN1,H9-hESC,VPA,VPA sat acute,96,144,1.00E-003
61,"UKN1_sat_a_VPA_0,6mM_D12_31NS_199.CEL",D12_31NS,144,E,UKN1,H9-hESC,VPA,VPA sat acute,96,144,6.00E-004
62,UKN1_sat_a_untr_D12_31NS_200.CEL,D12_31NS,144,A,UKN1,H9-hESC,untreated,VPA sat acute,,,
63,UKN1_sat_a_VPA_5mM_D12_32NS_201.CEL,D12_32NS,144,A,UKN1,H9-hESC,VPA,VPA sat acute,96,144,5.00E-003
64,UKN1_sat_a_VPA_4mM_D12_32NS_202.CEL,D12_32NS,144,B,UKN1,H9-hESC,VPA,VPA sat acute,96,144,4.00E-003
65,UKN1_sat_a_VPA_2mM_D12_32NS_203.CEL,D12_32NS,144,C,UKN1,H9-hESC,VPA,VPA sat acute,96,144,2.00E-003
66,UKN1_sat_a_VPA_1mM_D12_32NS_204.CEL,D12_32NS,144,D,UKN1,H9-hESC,VPA,VPA sat acute,96,144,1.00E-003
67,"UKN1_sat_a_VPA_0,6mM_D12_32NS_205.CEL",D12_32NS,144,E,UKN1,H9-hESC,VPA,VPA sat acute,96,144,6.00E-004
