"","g1p","g2p","k01","n1","k02","n2","a","b","g1","g2","n","dt"
"lo.pars",1e-05,1e-05,1e-02,1,1e-02,1,1,1,1e-05,1e-05,1,1e-2
"hi.pars",10,10,2,4,2,4,60000,1e+05,3,3,20,100
